"DID","Start","End","Size","R/W","Field Name","Type","Units","Scale Factor","Contents","Description"
"64111","1","1","1","R","CC_DID","uint16","N/A","N/A","64111","Uniquely identifies this as a SunSpec Basic 
Charge Controller"
"64111","2","2","1","R","CC_Length","uint16","Registers","N/A","26","Length of block in 16-bit registers"
"64111","3","3","1","R","CC_Port_number","uint16","N/A","N/A","0-10","Port number on Outback network"
"64111","4","4","1","R","CC_Voltage_SF","int16","N/A","N/A","-1","DC Voltage Scale Factor"
"64111","5","5","1","R","CC_Current_SF","int16","N/A","N/A","-1","DC Current Scale Factor"
"64111","6","6","1","R","CC_Power_SF","int16","N/A","N/A","0","DC Power Scale Factor"
"64111","7","7","1","R","CC_AH_SF","int16","N/A","N/A","0","DC Amp Hours Scale Factor"
"64111","8","8","1","R","CC_KWH_SF","int16","N/A","N/A","-1","DC kWH Scale Factor"
"64111","9","9","1","R","CC_Batt_Voltage","uint16","Volts","CC_Voltage_SF","Measured","Battery Voltage"
"64111","10","10","1","R","CC_Array_Voltage","uint16","Volts","CC_Voltage_SF","Measured","DC Source Voltage"
"64111","11","11","1","R","CC_Batt_Current","uint16","Amps","CC_Current_SF","Measured","Battery Current"
"64111","12","12","1","R","CC_Array_Current","uint16","Amps","CC_Power_SF","Measured","DC Source Current"
"64111","13","13","1","R","CC_Charger_State","uint16","Enumerated","N/A","N/A","0 = Silent; 1 = Float; 2 = Bulk; 3 = Absorb; 
4 = EQ"
"64111","14","14","1","R","CC_Watts","uint16","Watts","CC_Power_SF","Measured","CC Wattage Output"
"64111","15","15","1","R","CC_Todays_Min_Battery_Volts","uint16","Volts","CC_Voltage_SF","Measured","Minimum Voltage for battery today"
"64111","16","16","1","R","CC_Todays_Max_Battery_Volts","uint16","Volts","CC_Voltage_SF","Measured","Maximum Voltage for battery today"
"64111","17","17","1","R","CC_VOC","uint16","Volts","CC_Voltage_SF","Measured","Last Open Circuit Voltage (array)"
"64111","18","18","1","R","CC_Todays_Peak_VOC","uint16","Volts","N/A","Measured","Highest VOC today"
"64111","19","19","1","R","CC_Todays_kWH","uint16","KWH","CC_KWH_SF","Measured","Daily accumulated Kwatt hours output"
"64111","20","20","1","R","CC_Todays_AH","uint16","AH","CC_AH_SF","Measured","Daily accumulated amp hours output"
"64111","21","21","1","R","CC_Lifetime_kWH_Hours","uint16","KWH","N/A","Measured","Lifetime Total Kwatt Hours"
"64111","22","22","1","R","CC_Lifetime_kAmp_Hours","uint16","Amps","CC_KWH_SF","Measured","Lifetime Total K-Amp Hours"
"64111","23","23","1","R","CC_Lifetime_Max_Watts","uint16","Watts","CC_Power_SF","Measured","Lifetime Maximum Wattage"
"64111","24","24","1","R","CC_Lifetime_Max_Battery_Volts","uint16","Volts","CC_Voltage_SF","Measured","Lifetime Maximum Battery Voltage"
"64111","25","25","1","R","CC_Lifetime_Max_VOC","uint16","Volts","CC_Voltage_SF","Measured","Lifetime Maximum VOC"
"64111","26","26","1","R","CC_Temp_SF","uint16","N/A","N/A","0","FM80 Extreme Temperature scale factor"
"64111","27","27","1","R","CC_Temp_Output_FETs","int16","Degrees C","CC_Power_SF","Measured","FM80 Extreme Output FET Temperature"
"64111","28","28","1","R","CC_Temp_Enclosure","int16","Degrees C","CC_Power_SF","Measured","FM80 Extreme Enclosure Temperature"
