"DID","Start","End","Size","R/W","Name","Type","Units","Scale Factor","Contents","Description"
"64115","1","1","1","R","GS_Split_DID","uint16","N/A","N/A","64115","Vendor Extension for OutBack Radian Series 
Split Phase Inverter Status Block"
"64115","2","2","1","R","GS_Split_Length","uint16","Registers","N/A","58","Length of block in 16-bit registers"
"64115","3","3","1","R","GS_Split_Port_number","uint16","N/A","N/A","0-10","Port number on Outback network"
"64115","4","4","1","R","GS_Split_DC_Voltage_SF","int16","N/A","N/A","-1","DC Voltage Scale Factor"
"64115","5","5","1","R","GS_Split_AC_Current_SF","int16","N/A","N/A","0","AC Current Scale Factor"
"64115","6","6","1","R","GS_Split_AC_Voltage_SF","int16","N/A","N/A","0","AC Voltage Scale Factor"
"64115","7","7","1","R","GS_Split_AC_Frequency_SF","int16","N/A","N/A","-1","AC Frequency Scale Factor"
"64115","8","8","1","R","GS_Split_L1_Inverter_Output
_Current","int16","Amps","GS_Split_AC
_Current_SF","Measured","L1 inverter output current"
"64115","9","9","1","R","GS_Split_L1_Inverter_Charge
_Current","int16","Amps","GS_Split_AC
_Current_SF","Measured","L1 inverter charger current"
"64115","10","10","1","R","GS_Split_L1_Inverter_Buy 
_Current","int16","Amps","GS_Split_AC
_Current_SF","Measured","L1 inverter buy current"
"64115","11","11","1","R","GS_Split_L1_Inverter_Sell 
_Current","int16","Amps","GS_Split_AC
_Current_SF","Measured","L1 inverter sell current"
"64115","12","12","1","R","GS_Split_L1_Grid_Input_AC
_Voltage","int16","Volts AC","GS_Split_AC
_Voltage_SF","Measured","L1 Grid Input AC Voltage"
"64115","13","13","1","R","GS_Split_L1_Gen_Input_AC
_Voltage","int16","Volts AC","GS_Split_AC
_Voltage_SF","Measured","L1 Gen Input AC Voltage"
"64115","14","14","1","R","GS_Split_L1_Output_AC 
_Voltage","int16","Volts AC","GS_Split_AC
_Voltage_SF","Measured","L1 Output AC Voltage"
"64115","15","15","1","R","GS_Split_L2_Inverter_Output
_Current","int16","Amps","GS_Split_AC
_Current_SF","Measured","L2 inverter output current"
