"DID","Start","End","Size","R/W","Name","Type","Units","Scale Factor","Contents","Description"
"—","—","—","—","—","—","—","—","—","0x0001","Bulk Charging"
"—","—","—","—","—","—","—","—","—","0x0002","Float Charging"
"—","—","—","—","—","—","—","—","—","0x0004","Inverter AC Input Use"
"—","—","—","—","—","—","—","—","—","0x0008","Inverter Off"
"—","—","—","—","—","—","—","—","—","0x0010","Inverter Search Mode"
"—","—","—","—","—","—","—","—","—","0x0020","Inverter On"
"—","—","—","—","—","—","—","—","—","0x0040","Inverter Grid-Tie Enabled"
"—","—","—","—","—","—","—","—","—","0x0080","Inverter Charger Disabled"
"—","—","—","—","—","—","—","—","—","0x0100","Inverter Charger Auto Mode"
"—","—","—","—","—","—","—","—","—","0x0200","Inverter Charger Bulk and Float Mode"
"—","—","—","—","—","—","—","—","—","0x0400","EQ Charging"
